"","agency","year","department","expense_category","budget_code","budget_name","adopted","modified","encumbered","cash_expense","pre_encumbered","post_adjustment","accrued_expense"
"12568","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","AUTOMOTIVE SUPPLIES & MATERIAL","3550","OST - OPTION 1","0","0","0","0","0","0","0"
"12569","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TEMPORARY SERVICES","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12570","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3548","OST-Universal Afterschool","0","0","0","0","0","0","0"
"12571","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SECURITY SERVICES","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12572","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROF SERV OTHER","3544","OST - MSE Technical Assistance","0","0","0","0","0","0","0"
"12573","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9765","HEAP XV11","0","0","0","0","0","0","0"
"12574","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9765","HEAP XV11","0","0","0","0","0","0","0"
"12575","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","SUPPLIES + MATERIALS - GENERAL","3160","Intergrated County Plan","0","0","0","0","0","0","0"
"12576","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MAINT & REP OF MOTOR VEH EQUIP","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12577","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3128","SUMMER BUS PROGRAM","0","0","0","0","0","0","0"
"12578","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","4198","AOTPS","0","0","0","0","0","0","0"
"12579","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PROMPT PAYMENT INTEREST","3116","RUNAWAYS","0","0","0","0","0","0","0"
"12580","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE SERVICES","4198","AOTPS","28999","0","0","0","0","0","0"
"12581","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","JUDGEMENTS AND CLAIMS","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12582","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TRAINING PRGM CITY EMPLOYEES","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12583","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","TEMPORARY SERVICES","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12584","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","LEASING OF MISC EQUIP","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12585","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","RENTAL-DATA PROCESSING EQUIP","3112","ADMINISTRATIVE","0","0","0","0","0","0","0"
"12586","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","9905","CSBG","0","0","0","0","0","0","0"
"12587","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TRAINING PRGM CITY EMPLOYEES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12588","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TEMPORARY SERVICES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12589","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9865","HEAP XVIII","0","0","0","0","0","0","0"
"12590","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","9855","ADULT ED","0","0","0","0","0","0","0"
"12591","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"12592","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV OTHER","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12593","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OTHER EXPENSES - GENERAL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12594","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-GENERAL","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12595","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","RENTALS OF MISC.EQUIP","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12596","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TELECOMMUNICATIONS EQUIPMENT","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12597","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","6915","Workforce Investment Act (WIA)","0","0","0","0","0","0","0"
"12598","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING SUPPLIES","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12599","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9905","CSBG","0","0","0","0","0","0","0"
"12600","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES GENERAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12601","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-GENERAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12602","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12603","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PAYMENTS TO DELEGATE AGENCIES","9855","ADULT ED","0","0","0","0","0","0","0"
"12604","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9835","ADULT EDUCATION","0","0","0","0","0","0","0"
"12605","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","EQUIPMENT GENERAL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12606","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-SPECIAL","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12607","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12608","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-GENERAL","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12609","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12610","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MAINT & REP OF MOTOR VEH EQUIP","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12611","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MAINT & REP MOTOR VEH EQUIP","4198","AOTPS","0","0","0","0","0","0","0"
"12612","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","OVERTIME","E002","HURRICANE SANDY","0","0","0","0","0","0","0"
"12613","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PART-TIME POSITIONS","8500","UROG/IC PS","0","0","0","0","0","0","0"
"12614","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY LONGEVITY DIFFERENTIAL","5500","FEDERAL ADULT EDUCATION ACT","0","0","0","0","0","0","0"
"12615","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV DIRECT EDUC SERV","9906","Family Development Credentialing","0","0","0","0","0","0","0"
"12616","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","RENTALS - LAND BLDGS & STRUCTS","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12617","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","MOTOR VEHICLES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12618","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","ADVERTISING","9865","HEAP XVIII","0","0","0","0","0","0","0"
"12619","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9815","ADULT LITERACY","0","0","0","0","0","0","0"
"12620","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"12621","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OVERNIGHT TRVL EXP-GENERAL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12622","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","POSTAGE","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12623","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-GENERAL","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12624","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV ACCTING & AUDITING","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12625","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES GENERAL","4198","AOTPS","0","0","0","0","0","0","0"
"12626","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SALARY ADJUSTMENTS LABOR RSRVE","6006","Legal/General Counsel","0","0","0","0","0","0","0"
"12627","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","EARLY RET.TERMINAL LEAVE......","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12628","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PAYROLL REFUND","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"12629","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","BACKPAY - PRIOR YEARS","2500","CAP VERSATILE PROGRAM","0","0","0","0","0","0","0"
"12630","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","HEALTH CLUB REIMBURSEMENT","2006","Support Staff","0","0","0","0","0","0","0"
"12631","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SECURITY SERVICES","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12632","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING EQUIPMENT","9904","CSBG-AOTPS","0","0","0","0","0","0","0"
"12633","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TRAINING PRGM CITY EMPLOYEES","9855","ADULT ED","0","0","0","0","0","0","0"
"12634","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9845","PROJECT BEGIN","0","0","0","0","0","0","0"
"12635","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","EDUCATION & REC FOR YOUTH PRGM","9807","ADOLESCENT DATING VIOLENCE GRANT","0","0","0","0","0","0","0"
"12636","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE FURITURE","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12637","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","OFFICE EQUIPMENT MAINTENANCE","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12638","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TELECOMMUNICATIONS EQUIPMENT","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12639","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SUPPLIES + MATERIALS - GENERAL","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12640","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV DIRECT EDUC SERV","4198","AOTPS","0","0","0","0","0","0","0"
"12641","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","4198","AOTPS","1000","0","0","0","0","0","0"
"12642","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","LONGEVITY DIFFERENTIAL","5500","FEDERAL ADULT EDUCATION ACT","0","0","0","0","0","0","0"
"12643","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","UNSALARIED","4500","PROJECT BEGIN P S","0","0","0","0","0","0","0"
"12644","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PY SHIFT DIFFERENTIAL","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12645","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","PART-TIME POSITIONS","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12646","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","9916","Toyota Family Literacy Program","0","0","0","0","0","0","0"
"12647","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMOTION & CELEBRATION EXPENS","9855","ADULT ED","0","0","0","0","0","0","0"
"12648","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING EQUIPMENT","9850","MIS -  Technology","0","0","0","0","0","0","0"
"12649","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","NON OVERNIGHT TRVL EXP-SPECIAL","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12650","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","4199","AOTPS-IC","0","0","0","0","0","0","0"
"12651","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CLEANING SERVICES","4198","AOTPS","0","0","0","0","0","0","0"
"12652","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","CONTRACTUAL SERVICES-GENERAL","3712","CSBG - SYEP","0","0","0","0","0","0","0"
"12653","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","LONGEVITY DIFFERENTIAL","6500","HEAP VII (CDA)","0","0","0","0","0","0","0"
"12654","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","SUPPER MONEY","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12655","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","ASSIGNMENT DIFFERENTIAL","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12656","Department of Youth and Community Development","2018","EXECUTIVE AND ADMINISTRATIVE MGMT PS","UNSALARIED","3198","CITIZENSHIP N Y C","0","0","0","0","0","0","0"
"12657","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","CONTRACTUAL SERVICES GENERAL","3557","Youth Program at NYCHA","0","0","0","0","0","0","0"
"12658","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","EDUCATION & REC FOR YOUTH PRGM","3500","EDGE","0","0","0","0","0","0","0"
"12659","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","OTHER EXPENSES - GENERAL","3500","EDGE","0","0","0","0","0","0","0"
"12660","Department of Youth and Community Development","2018","OTHER THAN PERSONAL SERVICES","PAY FOR SURETY BOND/INSUR PREM","3125","TAX LEVY ELECT OFF DISCRET","0","0","0","0","0","0","0"
"12661","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROF SERV COMPUTER SERVICES","9805","COMMUNITY ACTION","0","0","0","0","0","0","0"
"12662","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","TRANSPORTATION EXPENDITURES","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12663","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","RENTALS OF MISC.EQUIP","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12664","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","SECURITY EQUIPMENT","9804","ADMIN OTPS","0","0","0","0","0","0","0"
"12665","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PROMPT PAYMENT INTEREST","9797","PRIOR YEAR EXPENSE FY97","0","0","0","0","0","0","0"
"12666","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","PRINTING CONTRACTS","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
"12667","Department of Youth and Community Development","2018","COMMUNITY DEVELOPMENT OTPS","DATA PROCESSING SUPPLIES","9704","COMMUNITY ACTION PROGRAM AOTPS","0","0","0","0","0","0","0"
