"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"2728","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","82946.98","Billed Revenue"
"2729","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","82280.76","Accounts Left In Old Year"
"2730","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","79940.17","Collected Revenue"
"2731","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","79940.17","Billed Revenue"
"2732","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","77450.8","Collected Revenue"
"2733","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","77450.8","Billed Revenue"
"2734","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","70496.07","Collected Revenue"
"2735","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","70496.07","Billed Revenue"
"2736","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2015","2016","571614","565729","58369","Collected Revenue"
"2737","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2015","2016","571614","565729","58369","Billed Revenue"
"2738","Department of Youth and Community Development","State Grants-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2015","2015","571614","565729","58369","Unbilled Revenue"
"2739","Department of Youth and Community Development","Federal Grants-Categorical","WIA National Emergency","General Fund","FEDERAL - OTHER","LABOR","2015","2015","0","0","57912.52","Billed Revenue"
"2740","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","53798.92","Collected Revenue"
"2741","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","53798.92","Billed Revenue"
"2742","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","51885.79","Collected Revenue"
"2743","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","51885.79","Billed Revenue"
"2744","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","45973.84","Collected Revenue"
"2745","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","45973.84","Billed Revenue"
"2746","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13352351","45533.52","Collected Revenue"
"2747","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","45533.52","Billed Revenue"
"2748","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","44546.48","Collected Revenue"
"2749","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","44546.48","Billed Revenue"
"2750","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","41935.08","Collected Revenue"
"2751","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","41935.08","Billed Revenue"
"2752","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","10669854","7038463","41635.06","Collected Revenue"
"2753","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7038463","41635.06","Unbilled Revenue"
"2754","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","39088.5","Collected Revenue"
"2755","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","39088.5","Billed Revenue"
"2756","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","38420.39","Collected Revenue"
"2757","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","38420.39","Billed Revenue"
"2758","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","10669854","7038463","38158.16","Collected Revenue"
"2759","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","38158.16","Billed Revenue"
"2760","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2015","2016","0","59236","29406","Accounts Left In Old Year"
"2761","Department of Youth and Community Development","Federal Grants-Categorical","FEMA Sandy B Emergency Protective Measures","General Fund","FEDERAL - OTHER","DEPARTMENT of  HOMELAND SECURITY","2015","2015","0","59236","29406","Unbilled Revenue"
"2762","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","27665.85","Collected Revenue"
"2763","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","27665.85","Billed Revenue"
"2764","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","25570.95","Collected Revenue"
"2765","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","25570.95","Billed Revenue"
"2766","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","24000","Collected Revenue"
"2767","Department of Youth and Community Development","Federal Grants-Categorical","WORKFORCE INVESTMENT ACT CENTRAL ADMINIS","General Fund","FEDERAL - OTHER","LABOR","2015","2015","2880847","2461132","24000","Billed Revenue"
"2768","Department of Youth and Community Development","Non-Governmental Grants","PRIVATE GRANTS","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2015","2018","0","1844939","23000","Accounts Left In Old Year"
"2769","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","22450.2","Collected Revenue"
"2770","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","16042.42","Collected Revenue"
"2771","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13336729","16042.42","Unbilled Revenue"
"2772","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","15996.53","Collected Revenue"
"2773","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","15996.53","Billed Revenue"
"2774","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","15235.01","Collected Revenue"
"2775","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","15235.01","Billed Revenue"
"2776","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","14777.74","Collected Revenue"
"2777","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","14777.74","Billed Revenue"
"2778","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","14418.93","Collected Revenue"
"2779","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","14418.93","Billed Revenue"
"2780","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","9166160","13281.67","Billed Revenue"
"2781","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","11503.52","Collected Revenue"
"2782","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","11503.52","Billed Revenue"
"2783","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","10920.31","Collected Revenue"
"2784","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","10920.31","Billed Revenue"
"2785","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","10836.69","Collected Revenue"
"2786","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","10836.69","Billed Revenue"
"2787","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","9946.01","Collected Revenue"
"2788","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","9946.01","Billed Revenue"
"2789","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","9499.95","Collected Revenue"
"2790","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","9499.95","Billed Revenue"
"2791","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2016","15332305","13336729","9133.3","Collected Revenue"
"2792","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","15332305","13352351","9133.3","Billed Revenue"
"2793","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","7872.24","Collected Revenue"
"2794","Department of Youth and Community Development","Federal Grants-Categorical","W.I.A. IN SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2015","2015","10669854","7047250","7872.24","Billed Revenue"
